name,domain,description,sdgs,cover_image_id,street_adress,latitude,longitude,id,homepage
Leasing als Enabler der Elektromobilitätswende,https://bdl.leasingverband.de,"Der Bundesverband Deutscher Leasing-Unternehmen (BDL) mit Sitz in Berlin vertritt als Branchenverband 230 Mitgliedsunternehmen, die 90% des deutschen Leasingmarktes repräsentieren. Mit einem Investitionsvolumen von 80,4 Milliarden Euro in 2024 ist die Leasingbranche ein bedeutender Wirtschaftsfaktor in Deutschland.

Ein herausragendes Beispiel für den Beitrag der Leasingbranche zur nachhaltigen Transformation ist die Förderung der Elektromobilität. Die Leasingunternehmen haben sich als Schlüsselakteure bei der Finanzierung der Mobilitätswende etabliert: Bemerkenswerte 56% aller Elektrofahrzeuge in Deutschland werden über Leasingmodelle finanziert. Dies macht die Branche zum wichtigsten Enabler für die Verbreitung von E-Mobilität im Land.

Das Leasing-Modell löst dabei mehrere Herausforderungen der E-Mobilität gleichzeitig: Es senkt die Einstiegshürde für Unternehmen und Privatpersonen durch geringere Anfangsinvestitionen, reduziert das technologische Risiko (besonders relevant bei der sich schnell entwickelnden Batterietechnologie) und ermöglicht eine flexible Anpassung an neue Technologiegenerationen. Zudem übernehmen die Leasinganbieter oft die Komplexität der Ladeinfrastruktur-Planung und -Finanzierung.

Durch die Nutzung statt Besitz-Philosophie fördert das Leasing-Prinzip zudem grundsätzlich zirkuläre Wirtschaftsmodelle. Nach Ende der Leasinglaufzeit können die Fahrzeuge professionell weiterverwertet oder recycelt werden, was die Ressourceneffizienz erhöht.

Die Leasingbranche trägt so maßgeblich zur Dekarbonisierung des Verkehrssektors bei und beschleunigt die Transformation hin zu einer emissionsärmeren Mobilität in Metropolregionen wie Berlin, wo Elektrofahrzeuge eine besonders wichtige Rolle für die Luftqualität und Klimaziele spielen.

Der BDL hat seinen Sitz in der Linkstraße 2, 10785 Berlin, wo Interessierte weitere Informationen zur Rolle des Leasings bei der nachhaltigen Transformation erhalten können.","11, 12, 13",,"Linkstraße 2, 10785 Berlin",,,68,https://bdl.leasingverband.de
Plastikneutraler Fahrradhelm mit Ozeanplastik-Kompensation,https://burnerhelmet.de,"Burner Helmet revolutioniert die Fahrradhelm-Industrie mit einem innovativen Nachhaltigkeitskonzept, das Sicherheit und Umweltschutz vereint. Das in Berlin ansässige Unternehmen hat den ersten plastikneutralen Fahrradhelm entwickelt, der durch seinen ressourcenschonenden Aufbau und die Verwendung von recyceltem EPS für die Innenschale bereits in der Produktion einen geringeren ökologischen Fußabdruck hinterlässt.

Das Herzstück des Nachhaltigkeitskonzepts ist jedoch die aktive Plastikkompensation: Für jeden verkauften Helm wird eine dem Helmgewicht entsprechende Menge Plastik aus den Ozeanen entfernt. Diese Sammlung findet hauptsächlich in Indonesien statt, wo Burner Helmet mit lokalen Partnern zusammenarbeitet, um Plastikmüll aus dem Meer zu bergen. Dieses Modell schafft nicht nur einen direkten positiven Umwelteffekt, sondern generiert auch Einkommen für lokale Gemeinschaften in Küstenregionen, die besonders von Plastikverschmutzung betroffen sind.

Burner Helmet setzt zudem auf nachhaltige Transportwege und verzichtet vollständig auf Luftfracht. Obwohl die Produktion in China stattfindet, werden die Helme ausschließlich per Bahn transportiert, was den CO2-Fußabdruck im Vergleich zu herkömmlichen Transportmethoden erheblich reduziert.

Das Unternehmen zeigt, wie ein alltägliches Produkt wie ein Fahrradhelm durch innovative Ansätze zu einem Treiber für positive Umweltveränderungen werden kann. Der ganzheitliche Ansatz – von der Materialauswahl über die Produktion bis hin zur aktiven Kompensation – macht Burner Helmet zu einem Vorbild für nachhaltige Produktentwicklung im urbanen Mobilitätssektor.

Die Helme können in Berlin in der Volkmarstr. 1-7 (c/o Soulbottles, 12099 Berlin) besichtigt werden, wo das Unternehmen seinen Sitz hat.","11, 12, 14",,"VolkmarStraße 1-7
c/o Soulbottles, 12099 Berlin",,,69,https://burnerhelmet.de
COCOLI: Kreislaufwirtschaft für Möbel,https://www.cocoli.com/de/,"COCOLI hat sich als innovative Plattform für Secondhand-Möbel und Designs mit kleinen Schönheitsfehlern in Berlin etabliert. Das Unternehmen mit Sitz in der Greifswalder Straße 13H im Bezirk Prenzlauer Berg adressiert ein gravierendes Nachhaltigkeitsproblem: Jährlich werden in Europa etwa 10 Millionen Tonnen Möbel entsorgt, was eine enorme Ressourcenverschwendung darstellt.

Die Lösung von COCOLI besteht in einem durchdachten Marktplatz-Konzept, das die Lebensdauer von Möbelstücken signifikant verlängert, indem es diese in die Kreislaufwirtschaft einbringt. Statt wertvolle Materialien und funktionsfähige Möbel zu entsorgen, vermittelt die Plattform ""preloved"" Möbel und Designs mit kleinen Schönheitsfehlern an neue Besitzer.

Der Ansatz von COCOLI zeichnet sich durch mehrere Qualitätsmerkmale aus: Die angebotenen Möbelstücke werden einer Qualitätsprüfung unterzogen, um Langlebigkeit zu gewährleisten. Zudem bietet das Unternehmen faire Preise und legt besonderen Wert auf umweltschonenden Ressourceneinsatz. Dies schafft eine Win-Win-Situation für Verkäufer, Käufer und die Umwelt.

Die praktische Umsetzung erfolgt über eine benutzerfreundliche Plattform, die den Prozess des Kaufens und Verkaufens von gebrauchten Möbeln vereinfacht und modernisiert. COCOLI erfindet damit die Art und Weise, wie Möbel gefunden, gekauft und wiederverwertet werden, neu und macht nachhaltigen Konsum im Möbelbereich attraktiv und zugänglich.

Die Wirkung dieses Geschäftsmodells ist mehrschichtig: Es reduziert Abfall, spart Ressourcen für die Neuproduktion von Möbeln ein und sensibilisiert Verbraucher für nachhaltigeren Konsum. Besonders in urbanen Räumen wie Berlin, wo Wohnraum und damit auch Möbel häufig wechseln, bietet COCOLI eine praktische Lösung für mehr Nachhaltigkeit im Alltag.

Interessierte können das Konzept direkt am Standort in der Greifswalder Straße 13H in Berlin kennenlernen und Teil dieser nachhaltigen Kreislauflösung werden.","11, 12, 13",,"Greifswalder Straße 13H, 10405 Berlin",,,70,https://www.cocoli.com/de/
CodeCheck Scanner-App: Transparenz für nachhaltigen Konsum,https://www.codecheck.info,"CodeCheck, mit Sitz in der Chausseestraße 84 in Berlin, hat eine innovative Scanner-App entwickelt, die Verbraucher:innen dabei unterstützt, bewusstere Kaufentscheidungen zu treffen. In einer Zeit, in der Produktetiketten oft schwer verständlich sind und bedenkliche Inhaltsstoffe hinter komplizierten Namen versteckt werden, bietet CodeCheck eine praktische Lösung für mehr Transparenz.

Die App ermöglicht es Nutzer:innen, Barcodes von Produkten zu scannen und sofort umfassende Informationen über deren Inhaltsstoffe zu erhalten. Das System analysiert Lebensmittel, Getränke und Kosmetika auf potenziell problematische Substanzen wie Allergene, Mikroplastik, Palmöl oder hormonell aktive Stoffe. Basierend auf wissenschaftlichen Erkenntnissen und Expertenmeinungen werden die Produkte bewertet und nachhaltigere Alternativen vorgeschlagen.

Ein besonderes Merkmal der App ist die Personalisierungsfunktion, die auf individuelle Bedürfnisse eingeht. Veganer:innen, Vegetarier:innen sowie Menschen mit Laktoseintoleranz oder Glutenunverträglichkeit können ihre Präferenzen einstellen und erhalten maßgeschneiderte Empfehlungen. Dies fördert nicht nur die Gesundheit der Nutzer:innen, sondern auch einen nachhaltigeren Konsum.

Die CodeCheck-App adressiert mehrere zentrale Nachhaltigkeitsprobleme: Sie bekämpft den Mangel an Transparenz in Produktketten, sensibilisiert für umweltschädliche Inhaltsstoffe wie Mikroplastik und Palmöl und ermöglicht informierte Entscheidungen für umweltfreundlichere Alternativen. Durch die Bereitstellung dieser Informationen trägt CodeCheck dazu bei, den ökologischen Fußabdruck von Konsument:innen zu reduzieren und fördert gleichzeitig nachhaltigere Produktionspraktiken bei Herstellern.

Die App kann kostenlos heruntergeladen werden und ist überall in Berlin und darüber hinaus nutzbar. Interessierte können die Funktionsweise der App in der Unternehmenszentrale in der Chausseestraße 84, Berlin-Mitte kennenlernen.","3, 10, 12",,"Chausseestraße 84, 10115 Berlin",,,71,https://www.codecheck.info
Nachhaltige Bühnenbeleuchtung: LED-Transformation in der Deutschen Oper Berlin,https://www.deutscheoperberlin.de,"Die Deutsche Oper Berlin, eines der bedeutendsten Opernhäuser Deutschlands, hat sich dem Klimaschutz verschrieben und setzt dabei auf eine umfassende Modernisierung ihrer Energieinfrastruktur. Als kulturelle Institution mit großer Strahlkraft in der Hauptstadt nimmt sie ihre Verantwortung für Nachhaltigkeit ernst.

Die CO2-Bilanz von 2019 zeigte deutlich: Mit 84,35% ist der Energieverbrauch der größte Emissionsfaktor des Opernhauses. Besonders die energieintensive Bühnenbeleuchtung stellte dabei eine Herausforderung dar. Als Antwort darauf hat die Deutsche Oper ein ambitioniertes Umrüstungsprogramm initiiert, das die konventionelle Beleuchtungstechnik durch moderne LED-Systeme ersetzt.

Das Projekt umfasst nicht nur die Bühnenbeleuchtung, sondern erstreckt sich auch auf Werkstätten, Garderoben, Büros und Flure. Nach Abschluss der Maßnahmen werden 75% der Bühnenbeleuchtung auf energieeffiziente LED-Technik umgestellt sein. Diese Transformation reduziert nicht nur den Stromverbrauch erheblich, sondern verbessert auch die Arbeitsbedingungen durch weniger Wärmeentwicklung und längere Lebensdauer der Leuchtmittel.

Parallel dazu investiert die Oper in betriebstechnische Anlagen zur Steigerung der Energieeffizienz und arbeitet kontinuierlich an der Reduzierung des Ressourcenverbrauchs. Diese Maßnahmen sind Teil eines ganzheitlichen Ansatzes, der die Deutsche Oper zu einem Vorreiter für Nachhaltigkeit im Kulturbereich macht.

Die Wirksamkeit dieser Maßnahmen wird durch eine geplante Folgebilanz für 2023 überprüft werden. Besonders bemerkenswert ist, dass die Institution ihre Nachhaltigkeitsbemühungen nicht isoliert betrachtet, sondern aktiv mit Partnern aus Kultur, Wirtschaft, Politik und Wissenschaft zusammenarbeitet, um gemeinschaftlich Wege für eine dekarbonisierte Gesellschaft zu finden.

Das Projekt kann vor Ort in der Deutschen Oper Berlin in der Richard-Wagner-Straße 10, 10585 Berlin besichtigt werden, wo die moderne LED-Technik bei Aufführungen im Einsatz zu erleben ist.","7, 11, 13",,"Richard-Wagner-Straße 10, 10585 Berlin",,,72,https://www.deutscheoperberlin.de
Beratungsangebot für Menschen mit Sehbehinderung,https://www.dbsv.org,"Der Deutsche Blinden- und Behindertenverband (DBSV) mit Sitz in Berlin ist eine bedeutende Selbsthilfevereinigung für Menschen, die von Sehverlust betroffen oder bedroht sind. Als gemeinnützige Organisation setzt sich der DBSV für die Inklusion und Teilhabe sehbehinderter Menschen in allen Lebensbereichen ein.

Ein herausragendes Projekt des DBSV ist sein umfassendes Beratungsangebot, das mehrere Dimensionen umfasst: Die Organisation bietet spezialisierte Beratung zu Hilfsmitteln an, die Menschen mit Sehbehinderung im Alltag unterstützen. Diese technischen und nicht-technischen Hilfsmittel ermöglichen es Betroffenen, ein selbstbestimmteres Leben zu führen und an gesellschaftlichen Aktivitäten teilzunehmen.

Darüber hinaus berät der DBSV zu rechtlichen Ansprüchen, wodurch sichergestellt wird, dass Menschen mit Sehbehinderung ihre gesetzlich verankerten Rechte kennen und durchsetzen können. Dies ist besonders wichtig in einem komplexen Sozial- und Gesundheitssystem, in dem Betroffene oft Schwierigkeiten haben, ihre Ansprüche geltend zu machen.

Ein weiterer wichtiger Aspekt ist die Beratung zur Schulwahl für sehbehinderte Kinder. Diese Unterstützung hilft Eltern und Kindern, die bestmögliche Bildungsumgebung zu finden, die sowohl die spezifischen Bedürfnisse berücksichtigt als auch Inklusion fördert.

Das Beratungsangebot des DBSV ist in Berlin in der Rungestraße 19, 10179 Berlin zugänglich und trägt maßgeblich dazu bei, Barrieren abzubauen und die Lebensqualität von Menschen mit Sehbehinderung zu verbessern. Durch seinen ganzheitlichen Ansatz adressiert der Verband nicht nur gesundheitliche Aspekte, sondern auch soziale und bildungsbezogene Herausforderungen, mit denen sehbehinderte Menschen konfrontiert sind.","3, 4, 10",,"Rungestraße 19, 10179 Berlin",,,73,https://www.dbsv.org
Querfeld-Kooperation: Rettung von krummem Bio-Gemüse,https://de.dussmann.de/food-services,"Dussmann Foodservices ist ein Catering-Unternehmen mit Sitz in Berlin, das Nachhaltigkeit in den Mittelpunkt seiner Geschäftstätigkeit stellt. Als Familienunternehmen fokussiert es sich besonders auf Klimaschutz und regionalen Genuss in der Gastronomie.

Ein besonders innovatives Projekt des Unternehmens ist die Kooperation mit Querfeld zur Rettung von krummem Bio-Gemüse. Dieses Projekt adressiert ein gravierendes Problem in der Lebensmittelversorgungskette: Jährlich werden in Deutschland tonnenweise einwandfreie Lebensmittel entsorgt, nur weil sie optischen Normen nicht entsprechen. Krumme Gurken, unförmige Kartoffeln oder zu kleine Äpfel landen oft im Müll, obwohl sie qualitativ hochwertig und schmackhaft sind.

In der Zusammenarbeit mit Querfeld, einem Berliner Social Start-up, integriert Dussmann gezielt dieses ""unschöne"" Bio-Gemüse in seine Speisepläne. Das Unternehmen bezieht diese Produkte direkt von regionalen Landwirten, die sonst Schwierigkeiten hätten, ihre nicht normgerechten Erzeugnisse zu vermarkten. Durch diese Praxis werden nicht nur Lebensmittelabfälle vermieden, sondern auch regionale Wirtschaftskreisläufe gestärkt und CO2-Emissionen durch kurze Transportwege reduziert.

Das Projekt ist Teil einer umfassenderen Nachhaltigkeitsstrategie, die auch Bio-Zertifizierung (DE-ÖKO-006) in ausgewählten Betrieben und die bevorzugte Verwendung regionaler Produkte umfasst. Dussmann setzt wöchentlich mehr als zwei Sättigungs- und Gemüsebeilagen, bevorzugt in Bioqualität, auf den Speiseplan und ergänzt dies mit Fairtrade-Produkten wie Kaffee, Tee und Schokolade.

Die Querfeld-Kooperation ist ein Paradebeispiel für praktisch gelebte Nachhaltigkeit in der Gastronomiebranche und zeigt, wie Unternehmen durch innovative Partnerschaften gleichzeitig ökologische und soziale Verantwortung übernehmen können.

Das Projekt kann in den Dussmann-Betriebsrestaurants in Berlin, insbesondere am Hauptsitz in der Friedrichstraße 90, 10117 Berlin, erlebt werden, wo die geretteten Lebensmittel auf dem Speiseplan zu finden sind.","2, 12, 13",,"Friedrichstraße 90, 10117 Berlin",,,74,https://de.dussmann.de/food-services
Bundesweites Expertennetzwerk für energieeffizientes Bauen und Sanieren,https://www.energie-effizienz-experten.de,"Die EnergieeffizienzExperten betreiben mit ihrer Expertenliste ein bundesweites Verzeichnis von über 20.000 qualifizierten Fachkräften, die Bauherren und Immobilienbesitzer bei energieeffizienten Bau- und Sanierungsvorhaben unterstützen. Diese zentrale Plattform mit Sitz in Berlin verbindet Architekten, Ingenieure und Energieberater mit Bauherren und trägt so maßgeblich zur Energiewende im Gebäudesektor bei.

Das Netzwerk adressiert eines der größten Nachhaltigkeitsprobleme in Metropolregionen: den hohen Energieverbrauch und CO2-Ausstoß im Gebäudebereich. Der innovative Lösungsansatz besteht in der systematischen Qualitätssicherung durch strenge Qualifikationsanforderungen an die gelisteten Experten und der gezielten Vermittlung dieser Fachkräfte für konkrete Bauprojekte.

In der praktischen Umsetzung bietet die Plattform eine einfache Suchfunktion, mit der Bauherren schnell geeignete Experten in ihrer Region finden können. Diese Experten begleiten dann den gesamten Prozess - von der Energieberatung über die Planung bis zur Umsetzung und Abnahme energieeffizienter Maßnahmen. Besonders wertvoll ist die Unterstützung bei der Beantragung von Fördermitteln im Rahmen der Bundesförderung für effiziente Gebäude (BEG).

Die Wirkung dieses Ansatzes ist beachtlich: Durch die qualifizierte Beratung und Begleitung werden Energieeffizienzmaßnahmen fachgerecht umgesetzt, was zu signifikanten Energieeinsparungen und CO2-Reduktionen führt. Gleichzeitig wird die Umstellung auf erneuerbare Energien im Gebäudesektor beschleunigt. Das Netzwerk trägt somit direkt zur Erreichung der nationalen Klimaschutzziele bei.

Ein besonderer Mehrwert liegt in der Kombination aus Qualitätssicherung, Wissenstransfer und praktischer Umsetzungshilfe. Die EnergieeffizienzExperten fungieren als Katalysator für die Energiewende im Gebäudesektor und machen spezialisiertes Fachwissen bundesweit verfügbar.

Die zentrale Anlaufstelle des Netzwerks befindet sich in der Chausseestraße 128 a in Berlin-Mitte, wo Interessierte weitere Informationen erhalten können.","7, 11, 13",,"Chausseestraße 128 a, 10115 Berlin",,,75,https://www.energie-effizienz-experten.de
Nachhaltige Buchproduktion und Umweltbildung durch FSC-Zertifizierung,https://www.eulenspiegel.com,"Die Eulenspiegel Verlagsgruppe mit Sitz am Märkischen Ufer 28 in Berlin ist ein traditionsreiches Verlagshaus, das mehrere Buchverlage unter einem Dach vereint und ein breites Spektrum an Belletristik und Sachbüchern anbietet. In einer Branche, die traditionell ressourcenintensiv ist, hat sich das Unternehmen der nachhaltigen Buchproduktion verschrieben.

Das Herzstück des Nachhaltigkeitsansatzes ist die konsequente FSC-Zertifizierung der Buchproduktion. Durch die Verwendung von FSC-zertifiziertem Papier stellt Eulenspiegel sicher, dass das für die Buchproduktion verwendete Holz aus verantwortungsvoll bewirtschafteten Wäldern stammt. Dies trägt nicht nur zum Schutz der Wälder bei, sondern fördert auch nachhaltige Forstwirtschaft und den Erhalt der Biodiversität.

Ergänzt wird diese Maßnahme durch den bewussten Verzicht auf Plastikfolie bei der Verpackung der Bücher – eine in der Verlagsbranche noch immer nicht selbstverständliche Praxis. Dadurch reduziert das Unternehmen seinen Plastikverbrauch erheblich und vermeidet unnötigen Verpackungsmüll.

Besonders hervorzuheben ist die Verbindung von nachhaltiger Produktion mit Umweltbildung: Die FSC-verifizierten Bücher tragen das entsprechende Siegel und sensibilisieren so die Leserschaft für Nachhaltigkeitsthemen. Zusätzlich unterstützt Eulenspiegel die Initiative ""Plant-for-the-Planet"" und hat allein im Jahr 2019 Spenden für mehr als 100 Bäume geleistet.

Die regelmäßigen Buchspenden an pädagogische Einrichtungen runden das Engagement ab. Sie fördern nicht nur die Lesekultur, sondern ermöglichen auch den Zugang zu Wissen und Bildung für breitere Bevölkerungsschichten.

Interessierte können die nachhaltig produzierten Bücher direkt am Firmensitz am Märkischen Ufer 28 in Berlin oder in jeder Buchhandlung erwerben und dabei das FSC-Siegel als Erkennungsmerkmal für nachhaltige Buchproduktion nutzen.","4, 12, 15",,"Märkisches Ufer 28, 10179 Berlin",,,76,https://www.eulenspiegel.com
Faircado Browser-Extension: Digitale Brücke zur Kreislaufwirtschaft,https://faircado.de,"Faircado, mit Sitz in der Rudi-Dutschke-Str. 23 in Berlin, revolutioniert den Konsumgüter-Einzelhandel durch eine innovative digitale Lösung, die Verbraucher*innen beim nachhaltigen Konsum unterstützt. Das Berliner Unternehmen hat eine Browser-Extension entwickelt, die als digitale Brücke zwischen herkömmlichem Online-Shopping und der Kreislaufwirtschaft fungiert.

Die Browser-Erweiterung von Faircado greift ein zentrales Nachhaltigkeitsproblem auf: Die Überproduktion neuer Konsumgüter und die damit verbundenen CO2-Emissionen, Ressourcenverbrauch und Abfallprobleme. Während Verbraucher*innen in Online-Shops nach Produkten suchen, zeigt die Extension automatisch verfügbare gebrauchte Alternativen aus verschiedenen Secondhand-Plattformen an.

Der Lösungsansatz ist bemerkenswert einfach und effektiv: Statt eine weitere isolierte Plattform zu schaffen, integriert sich Faircado nahtlos in das bestehende Online-Shopping-Verhalten. Die Extension funktioniert als digitaler Begleiter, der genau im richtigen Moment – während des Kaufentscheidungsprozesses – nachhaltigere Alternativen aufzeigt.

In der praktischen Umsetzung aggregiert Faircado Angebote von zahlreichen Secondhand-Plattformen und präsentiert diese übersichtlich, wenn Nutzer*innen auf herkömmlichen E-Commerce-Seiten surfen. Dies spart nicht nur Zeit bei der Suche nach gebrauchten Produkten, sondern macht den Kauf von Secondhand-Artikeln genauso bequem wie den Neukauf.

Die Wirkung dieser Lösung ist dreifach: Verbraucher*innen sparen Geld durch günstigere Gebrauchtprodukte, reduzieren ihren ökologischen Fußabdruck durch Vermeidung von Neuproduktion und verlängern die Lebensdauer bestehender Produkte. Faircado trägt so aktiv zur Etablierung einer funktionierenden Kreislaufwirtschaft bei und macht nachhaltigen Konsum für die breite Masse zugänglich.

Die Browser-Extension kann kostenlos installiert werden und ist in Berlin entwickelt worden. Interessierte können das Unternehmen in seinen Räumlichkeiten in der Rudi-Dutschke-Str. 23, 10969 Berlin besuchen oder die Extension direkt online ausprobieren.","9, 12, 13",,"Rudi-Dutschke-Straße 23, 10969 Berlin",,,77,https://faircado.de
Diversitätsbewusste Buntstifte für antirassistische Bildung,https://www.hautfarben-buntstifte.de,"Hautfarben ist ein in Berlin ansässiges Impact-Unternehmen, das sich auf die Produktion von diversitätsbewussten Buntstiften und Kinderspielzeug spezialisiert hat. Das Unternehmen verfolgt eine klare Mission: die Förderung einer antirassistischen Erziehung durch Produkte, die den Wert von Vielfalt vermitteln.

Das Kernprojekt des Unternehmens adressiert ein grundlegendes Problem in der frühkindlichen Bildung: Die traditionelle Bezeichnung eines einzelnen Buntstifts als ""hautfarben"" vermittelt Kindern ein eingeschränktes und oft eurozentrisches Bild von Hautfarben. Dies kann zu früher Stereotypenbildung führen und verstärkt unbewusst rassistische Denkmuster.

Hautfarben hat dieses Problem erkannt und eine innovative Lösung entwickelt: Buntstifte, die die tatsächliche Vielfalt menschlicher Hautfarben repräsentieren. Diese Stifte werden unter Berücksichtigung strenger Nachhaltigkeitskriterien produziert. Die gesamte Lieferkette ist CO2-neutral gestaltet, ohne negative Auswirkungen auf Umwelt und Artenvielfalt. Die Produktion erfolgt ausschließlich an zertifizierten Standorten in Europa, was kurze Transportwege und die Einhaltung hoher Sozial- und Umweltstandards gewährleistet.

Besonders bemerkenswert ist das ganzheitliche Nachhaltigkeitskonzept: Das Unternehmen verwendet ausschließlich Ökostrom und nachhaltige Materialien. 100% der erwirtschafteten Überschüsse fließen in gemeinnützige Projekte, die antirassistische Bildung fördern.

Die Wirkung dieses Projekts geht weit über das physische Produkt hinaus. Es schafft ein Bewusstsein für Diversität in einem Alter, in dem Kinder grundlegende Werte und Weltbilder entwickeln. Durch die Normalisierung von Hautfarbenvielfalt im Alltag von Kindern trägt das Unternehmen zur Bekämpfung von Rassismus und zur Förderung einer inklusiveren Gesellschaft bei.

Die Produkte von Hautfarben können direkt am Firmensitz in Berlin-Mitte, Am Krögel 2, 10179 Berlin, besichtigt und erworben werden.","4, 10, 12",,"Am Krögel 2, 10179 Berlin",,,78,https://www.hautfarben-buntstifte.de
Vom Kaffeesatz zum Kaffeebecher: Kreislaufwirtschaft in der Tasse,https://www.kaffeeform.com,"Kaffeeform, ein innovatives Berliner Unternehmen, hat eine bemerkenswerte Lösung für ein alltägliches Abfallproblem entwickelt: die Transformation von gebrauchtem Kaffeesatz in hochwertige, wiederverwendbare Kaffeebecher und andere Alltagsgegenstände.

In Deutschland fallen täglich tonnenweise Kaffeesatz an, der meist ungenutzt im Müll landet. Kaffeeform hat diesen Abfallstrom als wertvolle Ressource erkannt und ein einzigartiges Upcycling-Verfahren entwickelt. Das Unternehmen sammelt gebrauchten Kaffeesatz aus lokalen Cafés und Restaurants in Berlin, trocknet ihn und verarbeitet ihn zusammen mit biobasierten Bindemitteln zu einem innovativen Material. Dieses wird anschließend zu langlebigen Kaffeebechern und anderen Produkten geformt.

Die Kaffeeform-Becher sind nicht nur ästhetisch ansprechend mit ihrer marmorartigen, kaffeebraunen Optik, sondern auch praktisch im Alltag: Sie sind leicht, spülmaschinenfest und robust. Jeder Becher enthält den recycelten Kaffeesatz von etwa sechs konsumierten Tassen Espresso und schließt damit einen Kreislauf, der normalerweise mit dem Wegwerfen enden würde.

Das Projekt adressiert gleich mehrere Nachhaltigkeitsherausforderungen: Es reduziert Lebensmittelabfälle durch Upcycling, bietet eine umweltfreundliche Alternative zu Einwegbechern und fördert das Bewusstsein für Kreislaufwirtschaft im Alltag. Durch die Verwendung von biobasierten Ressourcen anstelle von erdölbasierten Kunststoffen werden zudem fossile Ressourcen geschont.

Kaffeeform arbeitet mit lokalen Partnern zusammen und vertreibt seine Produkte über ein Netzwerk von Cafés und Geschäften in Berlin und darüber hinaus. Diese Kooperationen stärken die lokale Wirtschaft und minimieren Transportwege.

Die Produkte von Kaffeeform können in zahlreichen Berliner Cafés und Geschäften erworben werden, die über den Store Locator auf der Unternehmenswebsite zu finden sind. Das Unternehmen selbst ist in der Choriner Straße 56 im Berliner Stadtteil Prenzlauer Berg ansässig.","11, 12, 13",,"Choriner Straße 56, 10435 Berlin",,,79,https://www.kaffeeform.com
Klimaneutrales veganes Fine-Dining mit regionalem Fokus,https://www.kopps-berlin.de,"Kopps Berlin ist ein Pionier in der nachhaltigen Gastronomie und hat sich als eines der ersten klimaneutral zertifizierten Fine-Dining Restaurants in Europa etabliert. Das vegane Restaurant in Berlin-Mitte verbindet gehobene Küche mit konsequenter Nachhaltigkeit in allen Betriebsaspekten.

Das Herzstück des Nachhaltigkeitskonzepts ist die Kombination aus veganer Küche mit einem starken Fokus auf regionale Beschaffung. Kopps bezieht seine Produkte bevorzugt von kleinen, regionalen Lieferanten und unterstützt gezielt Familienunternehmen aus dem Berliner Umland. Diese Strategie reduziert nicht nur den CO2-Fußabdruck durch kurze Transportwege, sondern stärkt auch die lokale Wirtschaft und fördert nachhaltige Landwirtschaft in Brandenburg.

Besonders bemerkenswert ist das konsequente Regionalitätsprinzip, das sich durch alle Bereiche zieht: 90% der angebotenen Weine stammen aus Deutschland, die restlichen 10% ausschließlich aus Europa. An der Bar werden vorwiegend Produkte aus Berlin/Brandenburg verwendet. Für nicht-regional beziehbare Produkte wie Kaffee und bestimmte Spirituosen setzt Kopps auf Fairtrade-Zertifizierungen.

Der persönliche Kontakt zu Winzern und anderen Produzenten ermöglicht einen direkten Austausch über nachhaltige Anbaumethoden und Produktionsverfahren. Dieses Netzwerk aus regionalen Partnerschaften bildet das Fundament für die klimaneutrale Ausrichtung des Restaurants.

Die Klimaneutralitätszertifizierung ist dabei nicht nur ein Label, sondern Teil eines kontinuierlichen Verbesserungsprozesses. Das Restaurant analysiert regelmäßig sein eigenes Handeln und identifiziert Optimierungspotenziale in allen Betriebsbereichen.

Kopps zeigt eindrucksvoll, dass gehobene Gastronomie und konsequente Nachhaltigkeit keine Gegensätze sein müssen. Das Restaurant fungiert als Vorbild für die Branche und demonstriert, wie die Gastronomie in Metropolregionen einen wichtigen Beitrag zum Klimaschutz leisten kann.

Das Restaurant kann in der Linienstraße 94, 10115 Berlin-Mitte besucht werden, wo Gäste die nachhaltige Philosophie in Form von exquisiten veganen Gerichten erleben können.","2, 12, 13",,"Linienstraße 94, 10115 Berlin-Mitte",,,80,https://www.kopps-berlin.de
